epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.4737,3.8421,4.64864,3.76503,0.43377,0.06326,0.00998,0.00279,3.15859,6.43028,3.10507,0.000368627,0.000368627,0.000368627
2,112.304,2.89978,3.66144,2.76061,0.49864,0.10646,0.0611,0.02018,2.74682,3.49481,2.73794,0.000720671,0.000720671,0.000720671
3,164.587,2.57164,3.19093,2.40829,0.48201,0.15484,0.08314,0.0277,2.59799,3.60016,2.51345,0.00105438,0.00105438,0.00105438
4,217.965,2.45486,2.99874,2.26237,0.12973,0.23452,0.09819,0.03235,2.4974,3.29944,2.41853,0.00102851,0.00102851,0.00102851
5,271.54,2.33896,2.82899,2.15883,0.34523,0.26963,0.12315,0.04295,2.41127,3.41251,2.34585,0.00100101,0.00100101,0.00100101
6,324.128,2.26747,2.69253,2.07688,0.37561,0.27263,0.16739,0.05937,2.23334,2.73329,2.14485,0.000973514,0.000973514,0.000973514
7,377.415,2.23021,2.57752,2.02224,0.19568,0.29879,0.18242,0.0643,2.27897,2.95928,2.19891,0.000946016,0.000946016,0.000946016
8,430.439,2.20346,2.54697,2.00846,0.41818,0.29667,0.22726,0.08084,2.17856,2.77046,2.09025,0.000918519,0.000918519,0.000918519
9,483.482,2.17664,2.51111,1.97904,0.33285,0.2955,0.23654,0.08218,2.20321,2.50678,2.13887,0.000891022,0.000891022,0.000891022
10,536.21,2.13575,2.40381,1.94994,0.35668,0.35268,0.2652,0.09624,2.19805,2.71992,2.12624,0.000863525,0.000863525,0.000863525
11,588.678,2.12696,2.38824,1.93254,0.38033,0.31746,0.30928,0.10501,2.20145,2.34475,2.12961,0.000836027,0.000836027,0.000836027
12,641.759,2.09317,2.34555,1.91108,0.34004,0.39231,0.33792,0.13009,2.10432,2.37364,2.05577,0.00080853,0.00080853,0.00080853
13,695.233,2.09928,2.31322,1.90759,0.44167,0.38311,0.35952,0.13261,2.11557,2.32844,2.02574,0.000781033,0.000781033,0.000781033
14,748.843,2.08049,2.28975,1.88456,0.34956,0.39415,0.33395,0.11776,2.1013,2.84335,2.02041,0.000753536,0.000753536,0.000753536
15,801.697,2.05107,2.25997,1.87194,0.35367,0.41213,0.34793,0.1337,2.08175,2.27414,2.00137,0.000726038,0.000726038,0.000726038
16,853.466,2.03751,2.22034,1.84996,0.44438,0.44161,0.39919,0.15589,2.04836,2.18336,1.9704,0.000698541,0.000698541,0.000698541
17,905.685,2.02275,2.19478,1.83197,0.44737,0.45503,0.41863,0.15888,2.06155,2.14365,1.95844,0.000671044,0.000671044,0.000671044
18,958.113,2.02105,2.1787,1.83877,0.46043,0.4494,0.43517,0.16624,2.02659,2.10503,1.93907,0.000643547,0.000643547,0.000643547
19,1010.46,2.01207,2.15884,1.82679,0.48016,0.43763,0.42889,0.16066,2.07416,2.05603,1.97132,0.000616049,0.000616049,0.000616049
20,1063.39,1.99602,2.13393,1.81771,0.44579,0.46331,0.44936,0.17556,2.03129,2.34584,1.9298,0.000588552,0.000588552,0.000588552
21,1114.9,2.00122,2.10185,1.80553,0.51292,0.4636,0.47409,0.1886,2.01314,2.02837,1.93035,0.000561055,0.000561055,0.000561055
22,1167.45,1.9823,2.10652,1.80633,0.48801,0.41543,0.43336,0.17218,2.02044,2.15159,1.94379,0.000533558,0.000533558,0.000533558
23,1219.28,1.95767,2.0808,1.78962,0.50164,0.47405,0.49291,0.18403,2.04045,1.95531,1.94908,0.00050606,0.00050606,0.00050606
24,1271.72,1.96018,2.05361,1.79082,0.51645,0.49835,0.49288,0.19259,2.01213,2.0323,1.95328,0.000478563,0.000478563,0.000478563
25,1323.23,1.95285,2.0312,1.77651,0.5108,0.49241,0.50142,0.20167,2.02143,1.91957,1.93124,0.000451066,0.000451066,0.000451066
26,1375.6,1.94076,2.01262,1.76429,0.51349,0.50388,0.50915,0.20083,1.98459,2.02872,1.89808,0.000423569,0.000423569,0.000423569
27,1427.35,1.94062,1.98212,1.76336,0.53822,0.50331,0.51373,0.20598,2.00222,1.90629,1.89732,0.000396071,0.000396071,0.000396071
28,1479.08,1.92514,1.99012,1.75574,0.55131,0.52757,0.5375,0.22074,1.94298,1.84706,1.84729,0.000368574,0.000368574,0.000368574
29,1531.35,1.91221,1.96058,1.73903,0.55491,0.55005,0.55626,0.22837,1.94919,1.78865,1.86273,0.000341077,0.000341077,0.000341077
30,1583.07,1.91932,1.96322,1.74204,0.57361,0.51998,0.55536,0.22981,1.94479,1.79464,1.85853,0.00031358,0.00031358,0.00031358
31,1624.77,1.6988,1.63619,1.67377,0.60908,0.57415,0.60094,0.24972,1.92882,1.65546,1.85376,0.000286083,0.000286083,0.000286083
32,1665.44,1.69612,1.55156,1.6602,0.59863,0.58956,0.61492,0.24908,1.92903,1.67223,1.86136,0.000258585,0.000258585,0.000258585
33,1705.97,1.67249,1.48753,1.63211,0.63045,0.5882,0.63651,0.26271,1.90121,1.59678,1.82036,0.000231088,0.000231088,0.000231088
34,1746.59,1.64663,1.45129,1.62794,0.64592,0.60935,0.64907,0.27331,1.88363,1.58674,1.82213,0.000203591,0.000203591,0.000203591
35,1787.44,1.6578,1.4318,1.63507,0.654,0.61997,0.65112,0.2702,1.90307,1.56646,1.82017,0.000176094,0.000176094,0.000176094
36,1828.16,1.6275,1.39966,1.60136,0.6453,0.64424,0.66744,0.28789,1.8638,1.54001,1.79288,0.000148596,0.000148596,0.000148596
37,1868.95,1.61632,1.3831,1.58937,0.67635,0.64152,0.69489,0.29708,1.86006,1.4995,1.78903,0.000121099,0.000121099,0.000121099
38,1909.53,1.59805,1.35601,1.58066,0.67988,0.64867,0.68962,0.28732,1.88986,1.49049,1.79694,9.36017e-05,9.36017e-05,9.36017e-05
39,1950.29,1.59146,1.33,1.57693,0.68533,0.66119,0.70493,0.29914,1.86267,1.4476,1.78293,6.61045e-05,6.61045e-05,6.61045e-05
