epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.9216,3.69572,4.33887,3.70967,0.46222,0.20616,0.02619,0.00784,2.97613,17.9982,3.05487,0.000368627,0.000368627,0.000368627
2,145.928,2.74671,3.2778,2.70644,0.48673,0.17194,0.07057,0.02477,2.6477,3.90887,2.66355,0.000718058,0.000718058,0.000718058
3,217.127,2.49594,2.92053,2.38566,0.3134,0.15387,0.10506,0.03397,2.57786,3.05489,2.59332,0.00104654,0.00104654,0.00104654
4,288.392,2.39795,2.77178,2.26474,0.17374,0.29017,0.13926,0.04967,2.38978,3.05474,2.40332,0.00101672,0.00101672,0.00101672
5,359.511,2.28739,2.6318,2.1685,0.19257,0.27385,0.14875,0.05403,2.35326,2.7451,2.38643,0.000985298,0.000985298,0.000985298
6,430.882,2.22493,2.51452,2.10468,0.35839,0.30149,0.17237,0.06034,2.26597,2.91795,2.29007,0.000953873,0.000953873,0.000953873
7,502.137,2.19435,2.44209,2.05637,0.23502,0.2949,0.19682,0.07048,2.24052,2.79235,2.26339,0.000922447,0.000922447,0.000922447
8,573.304,2.16485,2.41021,2.04578,0.28069,0.30992,0.23855,0.0841,2.23043,2.57725,2.2523,0.000891022,0.000891022,0.000891022
9,645.045,2.14254,2.37658,2.02192,0.30524,0.30574,0.26478,0.09119,2.31547,2.6688,2.32183,0.000859597,0.000859597,0.000859597
10,716.191,2.08909,2.27369,1.98263,0.30059,0.34367,0.26583,0.09343,2.16062,2.62307,2.19236,0.000828171,0.000828171,0.000828171
11,787.396,2.08529,2.24983,1.9651,0.37503,0.38271,0.3449,0.1136,2.21049,2.42331,2.21477,0.000796746,0.000796746,0.000796746
12,858.661,2.05847,2.21769,1.94946,0.45591,0.36043,0.38351,0.14885,2.06944,2.31554,2.1165,0.00076532,0.00076532,0.00076532
13,929.958,2.04911,2.19024,1.94469,0.42675,0.43481,0.41061,0.15605,2.08393,2.24216,2.09698,0.000733895,0.000733895,0.000733895
14,1001.2,2.03271,2.15554,1.91584,0.48153,0.41017,0.41205,0.16404,2.03302,2.35142,2.08236,0.000702469,0.000702469,0.000702469
15,1074.05,2.00117,2.11749,1.91088,0.45512,0.4577,0.43466,0.16836,2.06046,1.95721,2.09261,0.000671044,0.000671044,0.000671044
16,1145.38,1.97064,2.07929,1.88319,0.47359,0.44958,0.43418,0.17401,2.00613,2.0749,2.04334,0.000639619,0.000639619,0.000639619
17,1216.11,1.9629,2.0492,1.86888,0.52137,0.49436,0.48908,0.19193,2.0126,1.91549,2.05525,0.000608193,0.000608193,0.000608193
18,1287.15,1.96826,2.04124,1.8758,0.64415,0.47843,0.5067,0.20018,1.99383,1.90135,2.02516,0.000576768,0.000576768,0.000576768
19,1358.27,1.95132,2.01262,1.85541,0.52053,0.49761,0.49747,0.19956,2.00023,1.94521,2.0177,0.000545342,0.000545342,0.000545342
20,1429.32,1.93505,1.97468,1.84715,0.50612,0.53984,0.51811,0.20715,1.98234,2.12261,2.0053,0.000513917,0.000513917,0.000513917
21,1500.49,1.92317,1.94399,1.82821,0.53822,0.5301,0.52633,0.2117,1.96174,1.98253,2.00245,0.000482491,0.000482491,0.000482491
22,1571.57,1.92143,1.94826,1.82768,0.56069,0.52416,0.54904,0.22954,1.96714,1.81461,2.0073,0.000451066,0.000451066,0.000451066
23,1642.57,1.8913,1.90493,1.80817,0.59443,0.5598,0.56181,0.22515,1.98991,1.80194,2.00612,0.000419641,0.000419641,0.000419641
24,1713.83,1.88546,1.88103,1.81101,0.58025,0.54342,0.56673,0.22802,1.98374,1.76686,2.02417,0.000388215,0.000388215,0.000388215
25,1784.73,1.87973,1.85509,1.79477,0.58608,0.54638,0.57355,0.23035,1.96768,1.73496,1.98976,0.00035679,0.00035679,0.00035679
26,1854.92,1.6853,1.5781,1.75961,0.63165,0.6021,0.6233,0.25123,1.95402,1.61317,1.98647,0.000325364,0.000325364,0.000325364
27,1924.26,1.66734,1.45707,1.73923,0.6375,0.58883,0.62187,0.25717,1.94054,1.58598,1.96426,0.000293939,0.000293939,0.000293939
28,1993.48,1.64505,1.39061,1.70937,0.63058,0.62694,0.6519,0.28078,1.8984,1.50292,1.94441,0.000262513,0.000262513,0.000262513
29,2062.79,1.62262,1.36494,1.70078,0.66544,0.62317,0.66123,0.28064,1.89445,1.51171,1.94222,0.000231088,0.000231088,0.000231088
30,2132.55,1.61039,1.32807,1.68307,0.68113,0.63226,0.66753,0.26063,2.00839,1.45752,2.04037,0.000199663,0.000199663,0.000199663
31,2202.28,1.5986,1.30153,1.67416,0.69886,0.67786,0.71421,0.30526,1.8603,1.40424,1.91869,0.000168237,0.000168237,0.000168237
32,2271.65,1.57816,1.26573,1.66925,0.6986,0.67601,0.7136,0.30372,1.90275,1.40321,1.95252,0.000136812,0.000136812,0.000136812
33,2341.19,1.55837,1.23185,1.64955,0.73888,0.68562,0.7442,0.32688,1.84644,1.33052,1.91519,0.000105386,0.000105386,0.000105386
34,2411.99,1.54631,1.20206,1.64275,0.73216,0.70263,0.74925,0.31838,1.87751,1.32751,1.92869,7.39609e-05,7.39609e-05,7.39609e-05
35,2483.06,1.5186,1.17849,1.62425,0.74763,0.69962,0.75113,0.32474,1.86923,1.32936,1.92465,4.25354e-05,4.25354e-05,4.25354e-05
